ulasan,rating,kategori,nama_produk,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean,label
josss pokok bisa buat langganan,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['josss', 'pokok', 'bisa', 'buat', 'langganan']","['bagus', 'pokok', 'bisa', 'buat', 'langganan']","['bagus', 'pokok', 'langganan']","['bagus', 'pokok', 'langgan']",bagus pokok langgan,2
berfungsi dengan baik normal,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['berfungsi', 'dengan', 'baik', 'normal']","['berfungsi', 'dengan', 'baik', 'normal']","['berfungsi', 'normal']","['fungsi', 'normal']",fungsi normal,2
cara memberikan nilai reputasi ke penjual untuk dapat memberikan nilai reputasi ke penjual anda dapat melakukan langkahlangkah berikut ini,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['cara', 'memberikan', 'nilai', 'reputasi', 'ke', 'penjual', 'untuk', 'dapat', 'memberikan', 'nilai', 'reputasi', 'ke', 'penjual', 'anda', 'dapat', 'melakukan', 'langkahlangkah', 'berikut', 'ini']","['cara', 'memberikan', 'nilai', 'reputasi', 'ke', 'penjual', 'untuk', 'dapat', 'memberikan', 'nilai', 'reputasi', 'ke', 'penjual', 'anda', 'dapat', 'melakukan', 'langkahlangkah', 'berikut', 'ini']","['nilai', 'reputasi', 'penjual', 'nilai', 'reputasi', 'penjual', 'langkahlangkah']","['nilai', 'reputasi', 'jual', 'nilai', 'reputasi', 'jual', 'langkahlangkah']",nilai reputasi jual nilai reputasi jual langkahlangkah,2
barang sesuai dengan deskripsi pengiriman cepat gak pake lama barang bagus mantap dahh pokoknya thanks gan,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['barang', 'sesuai', 'dengan', 'deskripsi', 'pengiriman', 'cepat', 'gak', 'pake', 'lama', 'barang', 'bagus', 'mantap', 'dahh', 'pokoknya', 'thanks', 'gan']","['barang', 'sesuai', 'dengan', 'deskripsi', 'pengiriman', 'cepat', 'tidak', 'pakai', 'lama', 'barang', 'bagus', 'mantap', 'dah', 'pokoknya', 'terima kasih', 'juragan']","['barang', 'sesuai', 'deskripsi', 'pengiriman', 'cepat', 'pakai', 'barang', 'bagus', 'mantap', 'dah', 'pokoknya', 'terima kasih', 'juragan']","['barang', 'sesuai', 'deskripsi', 'kirim', 'cepat', 'pakai', 'barang', 'bagus', 'mantap', 'dah', 'pokok', 'terima kasih', 'juragan']",barang sesuai deskripsi kirim cepat pakai barang bagus mantap dah pokok terima kasih juragan,2
sesuai dengan deskripsi,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['sesuai', 'dengan', 'deskripsi']","['sesuai', 'dengan', 'deskripsi']","['sesuai', 'deskripsi']","['sesuai', 'deskripsi']",sesuai deskripsi,2
bagus packing aman pake bublewrap ndak ada yang patah,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,"['bagus', 'packing', 'aman', 'pake', 'bublewrap', 'ndak', 'ada', 'yang', 'patah']","['bagus', 'packing', 'aman', 'pakai', 'bublewrap', 'tidak', 'ada', 'yang', 'patah']","['bagus', 'packing', 'aman', 'pakai', 'bublewrap', 'patah']","['bagus', 'packing', 'aman', 'pakai', 'bublewrap', 'patah']",bagus packing aman pakai bublewrap patah,2
barang sesuai deskripsi,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']",barang sesuai deskripsi,2
cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,['cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp'],['cukup'],[],[],,2
barang sudah sampai sesuai pesanan ,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'sudah', 'sampai', 'sesuai', 'pesanan']","['barang', 'sudah', 'sampai', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']",barang sesuai pesan,2
thanksssssssssssssss,3,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,['thanksssssssssssssss'],['thanksssssssssssssss'],['thanksssssssssssssss'],['thanksssssssssssssss'],thanksssssssssssssss,1
barang bagus sesuai info fast response,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'bagus', 'sesuai', 'info', 'fast', 'response']","['barang', 'bagus', 'sesuai', 'info', 'fast', 'response']","['barang', 'bagus', 'sesuai', 'info', 'fast', 'response']","['barang', 'bagus', 'sesuai', 'info', 'fast', 'response']",barang bagus sesuai info fast response,2
barang ok pengriman cepet,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'ok', 'pengriman', 'cepet']","['barang', 'oke', 'pengriman', 'cepat']","['barang', 'oke', 'pengriman', 'cepat']","['barang', 'oke', 'rim', 'cepat']",barang oke rim cepat,2
barang sudah sy terima gan thanks,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'sudah', 'sy', 'terima', 'gan', 'thanks']","['barang', 'sudah', 'saya', 'terima', 'juragan', 'terima kasih']","['barang', 'terima', 'juragan', 'terima kasih']","['barang', 'terima', 'juragan', 'terima kasih']",barang terima juragan terima kasih,2
paket telah diterima baik terima kasih,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['paket', 'telah', 'diterima', 'baik', 'terima', 'kasih']","['paket', 'telah', 'diterima', 'baik', 'terima', 'kasih']","['paket', 'diterima', 'terima', 'kasih']","['paket', 'terima', 'terima', 'kasih']",paket terima terima kasih,2
barang bagus ga kecewa tapi kurang banyak nanti order lagi dah,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'bagus', 'ga', 'kecewa', 'tapi', 'kurang', 'banyak', 'nanti', 'order', 'lagi', 'dah']","['barang', 'bagus', 'tidak', 'kecewa', 'tapi', 'kurang', 'banyak', 'nanti', 'order', 'lagi', 'sudah']","['barang', 'bagus', 'kecewa', 'order']","['barang', 'bagus', 'kecewa', 'order']",barang bagus kecewa order,2
barang sudah di terima terima kasih ,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'sudah', 'di', 'terima', 'terima', 'kasih']","['barang', 'sudah', 'di', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']",barang terima terima kasih,2
barang sudah diterima ,4,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['barang', 'sudah', 'diterima']","['barang', 'sudah', 'diterima']","['barang', 'diterima']","['barang', 'terima']",barang terima,2
sip udah sampe beberapa menit yg lalu oke sesuai pesanan dan gambar trimakasih kerjasamanya,5,pertukangan,ISI REFILL Staple Stapel Straples Streples Staples Paku tembak GUN,"['sip', 'udah', 'sampe', 'beberapa', 'menit', 'yg', 'lalu', 'oke', 'sesuai', 'pesanan', 'dan', 'gambar', 'trimakasih', 'kerjasamanya']","['sip', 'sudah', 'sampai', 'beberapa', 'menit', 'yang', 'lalu', 'oke', 'sesuai', 'pesanan', 'dan', 'gambar', 'terima kasih', 'kerjasamanya']","['sip', 'menit', 'oke', 'sesuai', 'pesanan', 'gambar', 'terima kasih', 'kerjasamanya']","['sip', 'menit', 'oke', 'sesuai', 'pesan', 'gambar', 'terima kasih', 'kerjasamanya']",sip menit oke sesuai pesan gambar terima kasih kerjasamanya,2
sesuai deskripsi barangnya,5,pertukangan,Electric Rivet Gun Adapter,"['sesuai', 'deskripsi', 'barangnya']","['sesuai', 'deskripsi', 'barangnya']","['sesuai', 'deskripsi', 'barangnya']","['sesuai', 'deskripsi', 'barang']",sesuai deskripsi barang,2
produk sesuai pesanan tp blm dcoba,4,pertukangan,Electric Rivet Gun Adapter,"['produk', 'sesuai', 'pesanan', 'tp', 'blm', 'dcoba']","['produk', 'sesuai', 'pesanan', 'tetapi', 'belum', 'dicoba']","['produk', 'sesuai', 'pesanan', 'dicoba']","['produk', 'sesuai', 'pesan', 'coba']",produk sesuai pesan coba,2
proses cepat dan mantap,5,pertukangan,Electric Rivet Gun Adapter,"['proses', 'cepat', 'dan', 'mantap']","['proses', 'cepat', 'dan', 'mantap']","['proses', 'cepat', 'mantap']","['proses', 'cepat', 'mantap']",proses cepat mantap,2
sesuai deskripsi barangnya,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['sesuai', 'deskripsi', 'barangnya']","['sesuai', 'deskripsi', 'barangnya']","['sesuai', 'deskripsi', 'barangnya']","['sesuai', 'deskripsi', 'barang']",sesuai deskripsi barang,2
bagus sesuai dgn deskripsi thnks,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['bagus', 'sesuai', 'dgn', 'deskripsi', 'thnks']","['bagus', 'sesuai', 'dengan', 'deskripsi', 'terima kasih']","['bagus', 'sesuai', 'deskripsi', 'terima kasih']","['bagus', 'sesuai', 'deskripsi', 'terima kasih']",bagus sesuai deskripsi terima kasih,2
produk sesuai gambar dan deskripsi produknya bagus dan harganya jg bagus recommended produk,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['produk', 'sesuai', 'gambar', 'dan', 'deskripsi', 'produknya', 'bagus', 'dan', 'harganya', 'jg', 'bagus', 'recommended', 'produk']","['produk', 'sesuai', 'gambar', 'dan', 'deskripsi', 'produknya', 'bagus', 'dan', 'harganya', 'juga', 'bagus', 'rekomendasi', 'produk']","['produk', 'sesuai', 'gambar', 'deskripsi', 'produknya', 'bagus', 'harganya', 'bagus', 'rekomendasi', 'produk']","['produk', 'sesuai', 'gambar', 'deskripsi', 'produk', 'bagus', 'harga', 'bagus', 'rekomendasi', 'produk']",produk sesuai gambar deskripsi produk bagus harga bagus rekomendasi produk,2
seller is good produknya mantap   stars ya,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['seller', 'is', 'good', 'produknya', 'mantap', 'stars', 'ya']","['seller', 'is', 'bagus', 'produknya', 'mantap', 'stars', 'ya']","['seller', 'is', 'bagus', 'produknya', 'mantap', 'stars', 'ya']","['seller', 'is', 'bagus', 'produk', 'mantap', 'stars', 'ya']",seller is bagus produk mantap stars ya,2
produk bagus sesuai deskripsi packing rapi pengiriman cepat hanya kurirnya yg agak telat thanks,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['produk', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'pengiriman', 'cepat', 'hanya', 'kurirnya', 'yg', 'agak', 'telat', 'thanks']","['produk', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'pengiriman', 'cepat', 'hanya', 'kurirnya', 'yang', 'sedikit', 'telat', 'terima kasih']","['produk', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'pengiriman', 'cepat', 'kurirnya', 'telat', 'terima kasih']","['produk', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'kirim', 'cepat', 'kurir', 'telat', 'terima kasih']",produk bagus sesuai deskripsi packing rapi kirim cepat kurir telat terima kasih,2
mahmurah mantap barang sdh sampe thanks sukses selalu,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['mahmurah', 'mantap', 'barang', 'sdh', 'sampe', 'thanks', 'sukses', 'selalu']","['mahmurah', 'mantap', 'barang', 'sudah', 'sampai', 'terima kasih', 'sukses', 'selalu']","['mahmurah', 'mantap', 'barang', 'terima kasih', 'sukses']","['mahmurah', 'mantap', 'barang', 'terima kasih', 'sukses']",mahmurah mantap barang terima kasih sukses,2
produk diterima utuh tersegel semoga awet,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['produk', 'diterima', 'utuh', 'tersegel', 'semoga', 'awet']","['produk', 'diterima', 'utuh', 'tersegel', 'semoga', 'awet']","['produk', 'diterima', 'utuh', 'tersegel', 'semoga', 'awet']","['produk', 'terima', 'utuh', 'segel', 'moga', 'awet']",produk terima utuh segel moga awet,2
sesuai order pengiriman cepat respon cepat,4,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['sesuai', 'order', 'pengiriman', 'cepat', 'respon', 'cepat']","['sesuai', 'order', 'pengiriman', 'cepat', 'respon', 'cepat']","['sesuai', 'order', 'pengiriman', 'cepat', 'respon', 'cepat']","['sesuai', 'order', 'kirim', 'cepat', 'respon', 'cepat']",sesuai order kirim cepat respon cepat,2
respon dan proses dr penjual cepat barang sdh diterima stlh   hari kualitas barang bagus recommended seller thanks,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['respon', 'dan', 'proses', 'dr', 'penjual', 'cepat', 'barang', 'sdh', 'diterima', 'stlh', 'hari', 'kualitas', 'barang', 'bagus', 'recommended', 'seller', 'thanks']","['respon', 'dan', 'proses', 'dari', 'penjual', 'cepat', 'barang', 'sudah', 'diterima', 'setelah', 'hari', 'kualitas', 'barang', 'bagus', 'rekomendasi', 'seller', 'terima kasih']","['respon', 'proses', 'penjual', 'cepat', 'barang', 'diterima', 'kualitas', 'barang', 'bagus', 'rekomendasi', 'seller', 'terima kasih']","['respon', 'proses', 'jual', 'cepat', 'barang', 'terima', 'kualitas', 'barang', 'bagus', 'rekomendasi', 'seller', 'terima kasih']",respon proses jual cepat barang terima kualitas barang bagus rekomendasi seller terima kasih,2
mantap sesuai deskripsi trimakasih semoga barokah jualannya,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['mantap', 'sesuai', 'deskripsi', 'trimakasih', 'semoga', 'barokah', 'jualannya']","['mantap', 'sesuai', 'deskripsi', 'terima kasih', 'semoga', 'barakat', 'jualannya']","['mantap', 'sesuai', 'deskripsi', 'terima kasih', 'semoga', 'barakat', 'jualannya']","['mantap', 'sesuai', 'deskripsi', 'terima kasih', 'moga', 'barakat', 'jual']",mantap sesuai deskripsi terima kasih moga barakat jual,2
makasih gan barang sesuai,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['makasih', 'gan', 'barang', 'sesuai']","['terima kasih', 'juragan', 'barang', 'sesuai']","['terima kasih', 'juragan', 'barang', 'sesuai']","['terima kasih', 'juragan', 'barang', 'sesuai']",terima kasih juragan barang sesuai,2
pengiriman cepat fast respon barang sesuai trims,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['pengiriman', 'cepat', 'fast', 'respon', 'barang', 'sesuai', 'trims']","['pengiriman', 'cepat', 'fast', 'respon', 'barang', 'sesuai', 'terima kasih']","['pengiriman', 'cepat', 'fast', 'respon', 'barang', 'sesuai', 'terima kasih']","['kirim', 'cepat', 'fast', 'respon', 'barang', 'sesuai', 'terima kasih']",kirim cepat fast respon barang sesuai terima kasih,2
produknya bagus berkualitas dan berfungsi dg baik,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['produknya', 'bagus', 'berkualitas', 'dan', 'berfungsi', 'dg', 'baik']","['produknya', 'bagus', 'berkualitas', 'dan', 'berfungsi', 'dengan', 'baik']","['produknya', 'bagus', 'berkualitas', 'berfungsi']","['produk', 'bagus', 'kualitas', 'fungsi']",produk bagus kualitas fungsi,2
brg diterima dg baikamp lengkap,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['brg', 'diterima', 'dg', 'baikamp', 'lengkap']","['barang', 'diterima', 'dengan', 'baikamp', 'lengkap']","['barang', 'diterima', 'baikamp', 'lengkap']","['barang', 'terima', 'baikamp', 'lengkap']",barang terima baikamp lengkap,2
great product amp great seller,5,pertukangan,Staple Gun 3 in 1 Mollar Staples Tembak Stapler Tacker Hekter Heckter,"['great', 'product', 'amp', 'great', 'seller']","['great', 'produk', 'amp', 'great', 'seller']","['great', 'produk', 'amp', 'great', 'seller']","['great', 'produk', 'amp', 'great', 'seller']",great produk amp great seller,2
steplesnya sedikit lebih kecil dari staples khusu mollar saat ditembakan keluar   dan jadi menumpuk yang keluar rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar,4,pertukangan,Isi Staples Tembak 8 mm best guard,"['steplesnya', 'sedikit', 'lebih', 'kecil', 'dari', 'staples', 'khusu', 'mollar', 'saat', 'ditembakan', 'keluar', 'dan', 'jadi', 'menumpuk', 'yang', 'keluar', 'rekomennya', 'sih', 'mending', 'cari', 'isi', 'yang', 'khusus', 'mollar', 'jk', 'staplesnya', 'merk', 'mollar']","['steplesnya', 'sedikit', 'lebih', 'kecil', 'dari', 'staples', 'khusu', 'mollar', 'saat', 'ditembakan', 'keluar', 'dan', 'jadi', 'menumpuk', 'yang', 'keluar', 'rekomennya', 'sih', 'mending', 'cari', 'isi', 'yang', 'khusus', 'mollar', 'jika', 'staplesnya', 'merek', 'mollar']","['steplesnya', 'staples', 'khusu', 'mollar', 'ditembakan', 'menumpuk', 'rekomennya', 'sih', 'mending', 'cari', 'isi', 'khusus', 'mollar', 'staplesnya', 'merek', 'mollar']","['steplesnya', 'staples', 'khusu', 'mollar', 'tembak', 'tumpuk', 'rekomennya', 'sih', 'mending', 'cari', 'isi', 'khusus', 'mollar', 'staples', 'merek', 'mollar']",steplesnya staples khusu mollar tembak tumpuk rekomennya sih mending cari isi khusus mollar staples merek mollar,2
sesuai dengan pesanan,4,pertukangan,Isi Staples Tembak 8 mm best guard,"['sesuai', 'dengan', 'pesanan']","['sesuai', 'dengan', 'pesanan']","['sesuai', 'pesanan']","['sesuai', 'pesan']",sesuai pesan,2
produk berfungsi dgn baik,5,pertukangan,Isi Staples Tembak 8 mm best guard,"['produk', 'berfungsi', 'dgn', 'baik']","['produk', 'berfungsi', 'dengan', 'baik']","['produk', 'berfungsi']","['produk', 'fungsi']",produk fungsi,2
produk sesuai dengan deskripsi tapi belum dicoba,5,pertukangan,Isi Staples Tembak 8 mm best guard,"['produk', 'sesuai', 'dengan', 'deskripsi', 'tapi', 'belum', 'dicoba']","['produk', 'sesuai', 'dengan', 'deskripsi', 'tapi', 'belum', 'dicoba']","['produk', 'sesuai', 'deskripsi', 'dicoba']","['produk', 'sesuai', 'deskripsi', 'coba']",produk sesuai deskripsi coba,2
barang sesuai diskripsi dan layanan cepat,5,pertukangan,Isi Staples Tembak 8 mm best guard,"['barang', 'sesuai', 'diskripsi', 'dan', 'layanan', 'cepat']","['barang', 'sesuai', 'diskripsi', 'dan', 'layanan', 'cepat']","['barang', 'sesuai', 'diskripsi', 'layanan', 'cepat']","['barang', 'sesuai', 'skripsi', 'layan', 'cepat']",barang sesuai skripsi layan cepat,2
sudah diterima terima kasih,5,pertukangan,Isi Staples Tembak 8 mm best guard,"['sudah', 'diterima', 'terima', 'kasih']","['sudah', 'diterima', 'terima', 'kasih']","['diterima', 'terima', 'kasih']","['terima', 'terima', 'kasih']",terima terima kasih,2
